Id,Name,Month,Country,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
320,COVID-19,2020-02-01,Peru,0,0,0,0,0,0
321,COVID-19,2020-02-01,Philippines,3,1,1,2,1,1
322,COVID-19,2020-02-01,Poland,0,0,0,0,0,0
323,COVID-19,2020-02-01,Portugal,0,0,0,0,0,0
324,COVID-19,2020-02-01,Qatar,1,0,0,1,0,0
325,COVID-19,2020-02-01,Romania,3,0,0,3,0,0
326,COVID-19,2020-02-01,Russia,2,0,2,0,0,2
327,COVID-19,2020-02-01,Rwanda,0,0,0,0,0,0
328,COVID-19,2020-02-01,Saint Kitts and Nevis,0,0,0,0,0,0
329,COVID-19,2020-02-01,Saint Lucia,0,0,0,0,0,0
330,COVID-19,2020-02-01,Saint Vincent and the Grenadines,0,0,0,0,0,0
331,COVID-19,2020-02-01,San Marino,1,0,0,1,0,0
332,COVID-19,2020-02-01,Sao Tome and Principe,0,0,0,0,0,0
333,COVID-19,2020-02-01,Saudi Arabia,0,0,0,0,0,0
334,COVID-19,2020-02-01,Senegal,0,0,0,0,0,0
335,COVID-19,2020-02-01,Serbia,0,0,0,0,0,0
336,COVID-19,2020-02-01,Seychelles,0,0,0,0,0,0
337,COVID-19,2020-02-01,Sierra Leone,0,0,0,0,0,0
338,COVID-19,2020-02-01,Singapore,102,0,72,89,0,72
339,COVID-19,2020-02-01,Slovakia,0,0,0,0,0,0
340,COVID-19,2020-02-01,Slovenia,0,0,0,0,0,0
341,COVID-19,2020-02-01,Somalia,0,0,0,0,0,0
342,COVID-19,2020-02-01,South Africa,0,0,0,0,0,0
343,COVID-19,2020-02-01,South Korea,3150,16,27,3139,16,27
344,COVID-19,2020-02-01,South Sudan,0,0,0,0,0,0
345,COVID-19,2020-02-01,Spain,45,0,2,45,0,2
346,COVID-19,2020-02-01,Sri Lanka,1,0,1,0,0,1
347,COVID-19,2020-02-01,Sudan,0,0,0,0,0,0
348,COVID-19,2020-02-01,Suriname,0,0,0,0,0,0
349,COVID-19,2020-02-01,Sweden,12,0,0,11,0,0
350,COVID-19,2020-02-01,Switzerland,18,0,0,18,0,0
351,COVID-19,2020-02-01,Syria,0,0,0,0,0,0
352,COVID-19,2020-02-01,Taiwan*,39,1,9,29,1,9
353,COVID-19,2020-02-01,Tajikistan,0,0,0,0,0,0
354,COVID-19,2020-02-01,Tanzania,0,0,0,0,0,0
355,COVID-19,2020-02-01,Thailand,42,0,28,23,0,23
356,COVID-19,2020-02-01,Timor-Leste,0,0,0,0,0,0
357,COVID-19,2020-02-01,Togo,0,0,0,0,0,0
358,COVID-19,2020-02-01,Trinidad and Tobago,0,0,0,0,0,0
359,COVID-19,2020-02-01,Tunisia,0,0,0,0,0,0
360,COVID-19,2020-02-01,Turkey,0,0,0,0,0,0
361,COVID-19,2020-02-01,US,24,1,7,17,1,7
362,COVID-19,2020-02-01,Uganda,0,0,0,0,0,0
363,COVID-19,2020-02-01,Ukraine,0,0,0,0,0,0
364,COVID-19,2020-02-01,United Arab Emirates,21,0,5,17,0,5
365,COVID-19,2020-02-01,United Kingdom,61,0,8,59,0,8
366,COVID-19,2020-02-01,Uruguay,0,0,0,0,0,0
367,COVID-19,2020-02-01,Uzbekistan,0,0,0,0,0,0
368,COVID-19,2020-02-01,Venezuela,0,0,0,0,0,0
369,COVID-19,2020-02-01,Vietnam,16,0,16,14,0,16
370,COVID-19,2020-02-01,West Bank and Gaza,0,0,0,0,0,0
371,COVID-19,2020-02-01,Western Sahara,0,0,0,0,0,0
372,COVID-19,2020-02-01,Yemen,0,0,0,0,0,0
373,COVID-19,2020-02-01,Zambia,0,0,0,0,0,0
374,COVID-19,2020-02-01,Zimbabwe,0,0,0,0,0,0
375,COVID-19,2020-03-01,Afghanistan,174,4,5,173,4,5
376,COVID-19,2020-03-01,Albania,243,15,52,243,15,52
377,COVID-19,2020-03-01,Algeria,716,44,46,715,44,200
378,COVID-19,2020-03-01,Andorra,376,12,10,376,12,12
379,COVID-19,2020-03-01,Angola,7,2,1,7,2,1
380,COVID-19,2020-03-01,Antigua and Barbuda,7,0,0,7,0,0
381,COVID-19,2020-03-01,Argentina,1054,27,240,1054,27,240
382,COVID-19,2020-03-01,Armenia,532,3,30,532,3,30
383,COVID-19,2020-03-01,Australia,4559,18,358,4534,18,347
384,COVID-19,2020-03-01,Austria,10180,128,1095,10171,128,1105
385,COVID-19,2020-03-01,Azerbaijan,298,5,26,298,5,28
386,COVID-19,2020-03-01,Bahamas,14,0,1,14,0,1
387,COVID-19,2020-03-01,Bahrain,567,4,295,526,4,295
388,COVID-19,2020-03-01,Bangladesh,51,5,25,51,5,25
389,COVID-19,2020-03-01,Barbados,34,0,0,34,0,0
390,COVID-19,2020-03-01,Belarus,152,1,47,151,1,47
391,COVID-19,2020-03-01,Belgium,12775,705,1696,12774,705,1755
392,COVID-19,2020-03-01,Belize,3,0,0,3,0,0
393,COVID-19,2020-03-01,Benin,9,0,1,9,0,1
394,COVID-19,2020-03-01,Bhutan,4,0,0,4,0,0
395,COVID-19,2020-03-01,Bolivia,107,6,0,107,6,0
