ID,Country/Region,Date,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
314,Cuba,2020-06-01,2341,86,2214,296,3,405
315,Cuba,2020-07-01,2532,87,2351,191,1,137
316,Cyprus,2020-01-01,0,0,0,0,0,0
317,Cyprus,2020-02-01,0,0,0,0,0,0
318,Cyprus,2020-03-01,262,8,23,262,8,23
319,Cyprus,2020-04-01,850,15,296,588,7,273
320,Cyprus,2020-05-01,944,17,790,94,2,494
321,Cyprus,2020-06-01,998,19,833,54,2,43
322,Cyprus,2020-07-01,1060,19,852,62,0,19
323,Czechia,2020-01-01,0,0,0,0,0,0
324,Czechia,2020-02-01,0,0,0,0,0,0
325,Czechia,2020-03-01,3308,31,45,3308,31,45
326,Czechia,2020-04-01,7682,236,3314,4374,205,3269
327,Czechia,2020-05-01,9268,320,6558,1586,84,3244
328,Czechia,2020-06-01,11954,349,7771,2686,29,1213
329,Czechia,2020-07-01,15516,373,11428,3562,24,3657
330,Denmark,2020-01-01,0,0,0,0,0,0
331,Denmark,2020-02-01,3,0,0,3,0,0
332,Denmark,2020-03-01,3029,90,75,3026,90,75
333,Denmark,2020-04-01,9345,452,6730,6316,362,6655
334,Denmark,2020-05-01,11856,574,10549,2511,122,3819
335,Denmark,2020-06-01,12955,605,11836,1099,31,1287
336,Denmark,2020-07-01,13761,613,12605,806,8,769
337,Djibouti,2020-01-01,0,0,0,0,0,0
338,Djibouti,2020-02-01,0,0,0,0,0,0
339,Djibouti,2020-03-01,30,0,0,30,0,0
340,Djibouti,2020-04-01,1089,2,642,1059,2,642
341,Djibouti,2020-05-01,3354,24,1504,2265,22,862
342,Djibouti,2020-06-01,4682,54,4524,1328,30,3020
343,Djibouti,2020-07-01,5059,58,4977,377,4,453
344,Dominica,2020-01-01,0,0,0,0,0,0
345,Dominica,2020-02-01,0,0,0,0,0,0
346,Dominica,2020-03-01,12,0,0,12,0,0
347,Dominica,2020-04-01,16,0,13,4,0,13
348,Dominica,2020-05-01,16,0,16,0,0,3
349,Dominica,2020-06-01,18,0,18,2,0,2
350,Dominica,2020-07-01,18,0,18,0,0,0
351,Dominican Republic,2020-01-01,0,0,0,0,0,0
352,Dominican Republic,2020-02-01,0,0,0,0,0,0
353,Dominican Republic,2020-03-01,1109,51,5,1109,51,5
354,Dominican Republic,2020-04-01,6972,301,1301,5863,250,1296
355,Dominican Republic,2020-05-01,17285,502,10559,10313,201,9258
356,Dominican Republic,2020-06-01,32568,747,17580,15283,245,7021
357,Dominican Republic,2020-07-01,64156,1083,30204,31588,336,12624
358,Ecuador,2020-01-01,0,0,0,0,0,0
359,Ecuador,2020-02-01,0,0,0,0,0,0
360,Ecuador,2020-03-01,2240,75,54,2240,75,54
361,Ecuador,2020-04-01,24934,900,1558,22694,825,1504
362,Ecuador,2020-05-01,39098,3358,19592,17277,2458,18034
363,Ecuador,2020-06-01,56432,4527,27594,17334,1169,8002
364,Ecuador,2020-07-01,81161,5532,34896,24729,1005,7302
365,Egypt,2020-01-01,0,0,0,0,0,0
366,Egypt,2020-02-01,1,0,1,1,0,1
367,Egypt,2020-03-01,710,46,157,709,46,156
368,Egypt,2020-04-01,5537,392,1381,4827,346,1224
369,Egypt,2020-05-01,24985,959,6037,19448,567,4656
370,Egypt,2020-06-01,68311,2953,18460,43326,1994,12423
371,Egypt,2020-07-01,92482,4652,34838,24171,1699,16378
372,El Salvador,2020-01-01,0,0,0,0,0,0
373,El Salvador,2020-02-01,0,0,0,0,0,0
374,El Salvador,2020-03-01,32,1,0,32,1,0
375,El Salvador,2020-04-01,395,10,119,363,9,119
376,El Salvador,2020-05-01,2517,46,1040,2122,36,921
377,El Salvador,2020-06-01,6438,174,3770,3921,128,2730
378,El Salvador,2020-07-01,15035,408,7778,8597,234,4008
379,Equatorial Guinea,2020-01-01,0,0,0,0,0,0
380,Equatorial Guinea,2020-02-01,0,0,0,0,0,0
381,Equatorial Guinea,2020-03-01,12,0,1,12,0,1
382,Equatorial Guinea,2020-04-01,315,1,9,303,1,8
383,Equatorial Guinea,2020-05-01,1306,12,200,991,11,191
384,Equatorial Guinea,2020-06-01,2001,32,515,695,20,315
385,Equatorial Guinea,2020-07-01,3071,51,842,1070,19,327
386,Eritrea,2020-01-01,0,0,0,0,0,0
387,Eritrea,2020-02-01,0,0,0,0,0,0
388,Eritrea,2020-03-01,15,0,0,15,0,0
389,Eritrea,2020-04-01,39,0,26,24,0,26
390,Eritrea,2020-05-01,39,0,39,0,0,13
391,Eritrea,2020-06-01,203,0,53,164,0,14
392,Eritrea,2020-07-01,265,0,191,62,0,138
393,Estonia,2020-01-01,0,0,0,0,0,0
394,Estonia,2020-02-01,1,0,0,1,0,0
395,Estonia,2020-03-01,745,4,26,744,4,26
396,Estonia,2020-04-01,1689,52,249,944,48,223
397,Estonia,2020-05-01,1869,68,1624,180,16,1375
398,Estonia,2020-06-01,1989,69,1829,120,1,205
399,Estonia,2020-07-01,2034,69,1923,45,0,94
400,Eswatini,2020-01-01,0,0,0,0,0,0
401,Eswatini,2020-02-01,0,0,0,0,0,0
402,Eswatini,2020-03-01,9,0,0,9,0,0
403,Eswatini,2020-04-01,100,1,12,91,1,12
404,Eswatini,2020-05-01,285,2,189,185,1,177
405,Eswatini,2020-06-01,812,11,408,527,9,219
406,Eswatini,2020-07-01,2316,34,1025,1504,23,617
407,Ethiopia,2020-01-01,0,0,0,0,0,0
408,Ethiopia,2020-02-01,0,0,0,0,0,0
409,Ethiopia,2020-03-01,26,0,2,26,0,2
410,Ethiopia,2020-04-01,131,3,59,105,3,57
411,Ethiopia,2020-05-01,1172,11,209,1041,8,150
412,Ethiopia,2020-06-01,5846,103,2430,4674,92,2221
413,Ethiopia,2020-07-01,14547,228,6386,8701,125,3956
414,Fiji,2020-01-01,0,0,0,0,0,0
415,Fiji,2020-02-01,0,0,0,0,0,0
416,Fiji,2020-03-01,5,0,0,5,0,0
417,Fiji,2020-04-01,18,0,12,13,0,12
418,Fiji,2020-05-01,18,0,15,0,0,3
419,Fiji,2020-06-01,18,0,18,0,0,3
420,Fiji,2020-07-01,27,0,18,9,0,0
421,Finland,2020-01-01,1,0,0,1,0,0
422,Finland,2020-02-01,3,0,1,2,0,1
423,Finland,2020-03-01,1418,17,10,1415,17,9
