Id,Nom,Location,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
243,Coronavirus,Senegal,9764.0,194.0,6477,3093,83.0,3.0,68
244,Coronavirus,Serbia,24141.0,543.0,0,23598,411.0,9.0,0
245,Monkeypox,Serbia,40.0,0.0,-1,-1,13.0,0.0,-1
246,Coronavirus,Seychelles,114.0,0.0,39,75,0.0,0.0,0
247,Coronavirus,Sierra Leone,1783.0,66.0,1317,400,0.0,0.0,4
248,Coronavirus,Singapore,50838.0,27.0,45692,5119,469.0,0.0,171
249,Monkeypox,Singapore,25.0,0.0,-1,-1,3.0,0.0,-1
250,Monkeypox,Slovakia,14.0,0.0,-1,-1,3.0,0.0,-1
251,Coronavirus,Slovakia,2181.0,28.0,1616,537,2.0,0.0,39
252,Monkeypox,Slovenia,47.0,0.0,-1,-1,5.0,0.0,-1
253,Coronavirus,Slovenia,2087.0,116.0,1733,238,5.0,0.0,55
254,Coronavirus,Somalia,3196.0,93.0,1543,1560,18.0,0.0,22
255,Monkeypox,South Africa,5.0,0.0,-1,-1,1.0,0.0,-1
256,Coronavirus,South Africa,452529.0,7067.0,274925,170537,7096.0,298.0,9848
257,Monkeypox,South America,22336.0,43.0,-1,-1,662.0,5.0,-1
258,Monkeypox,South Korea,60.0,0.0,-1,-1,13.0,0.0,-1
259,Coronavirus,South Korea,14203.0,300.0,13007,896,28.0,1.0,102
260,Coronavirus,South Sudan,2305.0,46.0,1175,1084,43.0,1.0,0
261,Coronavirus,Spain,272421.0,28432.0,150376,93613,0.0,0.0,0
262,Monkeypox,Spain,7551.0,3.0,-1,-1,560.0,2.0,-1
263,Coronavirus,Sri Lanka,2805.0,11.0,2121,673,23.0,0.0,15
264,Monkeypox,Sri Lanka,2.0,0.0,-1,-1,1.0,0.0,-1
265,Monkeypox,Sudan,19.0,1.0,-1,-1,10.0,1.0,-1
266,Coronavirus,Sudan,11424.0,720.0,5939,4765,39.0,3.0,49
267,Coronavirus,Suriname,1483.0,24.0,925,534,44.0,1.0,35
268,Monkeypox,Sweden,260.0,0.0,-1,-1,15.0,0.0,-1
269,Coronavirus,Sweden,79395.0,5700.0,0,73695,398.0,3.0,0
270,Monkeypox,Switzerland,552.0,0.0,-1,-1,26.0,0.0,-1
271,Coronavirus,Switzerland,34477.0,1978.0,30900,1599,65.0,1.0,200
272,Coronavirus,Syria,674.0,40.0,0,634,24.0,2.0,0
273,Coronavirus,Taiwan*,462.0,7.0,440,15,4.0,0.0,0
274,Coronavirus,Tajikistan,7235.0,60.0,6028,1147,43.0,1.0,58
275,Coronavirus,Tanzania,509.0,21.0,183,305,0.0,0.0,0
276,Coronavirus,Thailand,3297.0,58.0,3111,128,6.0,0.0,2
277,Monkeypox,Thailand,21.0,0.0,-1,-1,3.0,0.0,-1
278,Coronavirus,Timor-Leste,24.0,0.0,0,24,0.0,0.0,0
279,Coronavirus,Togo,874.0,18.0,607,249,6.0,0.0,8
280,Coronavirus,Trinidad and Tobago,148.0,8.0,128,12,1.0,0.0,0
281,Coronavirus,Tunisia,1455.0,50.0,1157,248,3.0,0.0,15
282,Monkeypox,Turkey,12.0,0.0,-1,-1,11.0,0.0,-1
283,Coronavirus,Turkey,227019.0,5630.0,210469,10920,919.0,17.0,982
284,Coronavirus,US,4290259.0,148011.0,1325804,2816444,56336.0,1076.0,27941
285,Coronavirus,Uganda,1128.0,2.0,986,140,13.0,0.0,4
286,Monkeypox,Ukraine,5.0,0.0,-1,-1,1.0,0.0,-1
287,Coronavirus,Ukraine,67096.0,1636.0,37202,28258,835.0,11.0,317
288,Monkeypox,United Arab Emirates,16.0,0.0,-1,-1,5.0,0.0,-1
289,Coronavirus,United Arab Emirates,59177.0,345.0,52510,6322,264.0,1.0,328
290,Coronavirus,United Kingdom,301708.0,45844.0,1437,254427,688.0,7.0,3
291,Monkeypox,United Kingdom,3741.0,0.0,-1,-1,259.0,0.0,-1
292,Monkeypox,United States,30154.0,42.0,-1,-1,1392.0,6.0,-1
293,Monkeypox,Uruguay,19.0,0.0,-1,-1,3.0,0.0,-1
294,Coronavirus,Uruguay,1202.0,35.0,951,216,10.0,1.0,3
295,Coronavirus,Uzbekistan,21209.0,121.0,11674,9414,678.0,5.0,569
296,Coronavirus,Venezuela,15988.0,146.0,9959,5883,525.0,4.0,213
297,Monkeypox,Venezuela,12.0,0.0,-1,-1,3.0,0.0,-1
298,Coronavirus,Vietnam,431.0,0.0,365,66,11.0,0.0,0
299,Monkeypox,Vietnam,2.0,0.0,-1,-1,1.0,0.0,-1
300,Coronavirus,West Bank and Gaza,10621.0,78.0,3752,6791,152.0,2.0,0
301,Coronavirus,Western Sahara,10.0,1.0,8,1,0.0,0.0,0
302,Monkeypox,World,87376.0,140.0,-1,-1,1802.0,12.0,-1
303,Coronavirus,Yemen,1691.0,483.0,833,375,10.0,4.0,36
304,Coronavirus,Zambia,4552.0,140.0,2815,1597,71.0,1.0,465
305,Coronavirus,Zimbabwe,2704.0,36.0,542,2126,192.0,2.0,24
